Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
9/11/2015 16:00:00,92.93,9/11/2015 16:00:00,52.59,9/11/2015 16:00:00,72.69,9/11/2015 16:00:00,4.98,9/11/2015 16:00:00,64.63
9/14/2015 16:00:00,93.32,9/14/2015 16:00:00,52.45,9/14/2015 16:00:00,72.49,9/14/2015 16:00:00,5.03,9/14/2015 16:00:00,62.6
9/15/2015 16:00:00,94.4,9/15/2015 16:00:00,54.11,9/15/2015 16:00:00,72.86,9/15/2015 16:00:00,4.84,9/15/2015 16:00:00,64.85
9/16/2015 16:00:00,94.61,9/16/2015 16:00:00,55.36,9/16/2015 16:00:00,74.3,9/16/2015 16:00:00,5.03,9/16/2015 16:00:00,67.23
9/17/2015 16:00:00,94.84,9/17/2015 16:00:00,54.69,9/17/2015 16:00:00,74.46,9/17/2015 16:00:00,5.15,9/17/2015 16:00:00,66
9/18/2015 16:00:00,93.39,9/18/2015 16:00:00,54.05,9/18/2015 16:00:00,72.68,9/18/2015 16:00:00,4.98,9/18/2015 16:00:00,65.75
9/21/2015 16:00:00,93.13,9/21/2015 16:00:00,54.79,9/21/2015 16:00:00,73.39,9/21/2015 16:00:00,5.06,9/21/2015 16:00:00,63.9
9/22/2015 16:00:00,93.24,9/22/2015 16:00:00,54.2,9/22/2015 16:00:00,72.74,9/22/2015 16:00:00,4.77,9/22/2015 16:00:00,61.9
9/23/2015 16:00:00,92.99,9/23/2015 16:00:00,54.4,9/23/2015 16:00:00,72.3,9/23/2015 16:00:00,4.59,9/23/2015 16:00:00,60
9/24/2015 16:00:00,92.48,9/24/2015 16:00:00,54.61,9/24/2015 16:00:00,72.73,9/24/2015 16:00:00,4.68,9/24/2015 16:00:00,59.92
9/25/2015 16:00:00,91,9/25/2015 16:00:00,54.79,9/25/2015 16:00:00,73.23,9/25/2015 16:00:00,4.52,9/25/2015 16:00:00,59.24
9/28/2015 16:00:00,91.37,9/28/2015 16:00:00,54.63,9/28/2015 16:00:00,72.6,9/28/2015 16:00:00,4.07,9/28/2015 16:00:00,57.39
9/29/2015 16:00:00,93.04,9/29/2015 16:00:00,54.23,9/29/2015 16:00:00,72.97,9/29/2015 16:00:00,4.03,9/29/2015 16:00:00,57.82
9/30/2015 16:00:00,93.35,9/30/2015 16:00:00,54.4,9/30/2015 16:00:00,74.35,9/30/2015 16:00:00,4.2,9/30/2015 16:00:00,58.97
10/1/2015 16:00:00,93.17,10/1/2015 16:00:00,54.22,10/1/2015 16:00:00,74.06,10/1/2015 16:00:00,4.26,10/1/2015 16:00:00,58.87
10/2/2015 16:00:00,93.93,10/2/2015 16:00:00,54.86,10/2/2015 16:00:00,75.88,10/2/2015 16:00:00,4.48,10/2/2015 16:00:00,63.2
10/5/2015 16:00:00,94.76,10/5/2015 16:00:00,55.73,10/5/2015 16:00:00,76.81,10/5/2015 16:00:00,4.63,10/5/2015 16:00:00,63.93
10/6/2015 16:00:00,93.42,10/6/2015 16:00:00,55.41,10/6/2015 16:00:00,77.89,10/6/2015 16:00:00,4.79,10/6/2015 16:00:00,63.92
10/7/2015 16:00:00,94.98,10/7/2015 16:00:00,55.9,10/7/2015 16:00:00,79.2,10/7/2015 16:00:00,5.16,10/7/2015 16:00:00,66.28
10/8/2015 16:00:00,95.08,10/8/2015 16:00:00,56.37,10/8/2015 16:00:00,80.03,10/8/2015 16:00:00,5.27,10/8/2015 16:00:00,67.7
10/9/2015 16:00:00,95.37,10/9/2015 16:00:00,56.81,10/9/2015 16:00:00,79.26,10/9/2015 16:00:00,5.48,10/9/2015 16:00:00,68.71
10/12/2015 16:00:00,95.99,10/12/2015 16:00:00,57.46,10/12/2015 16:00:00,79.3,10/12/2015 16:00:00,5.25,10/12/2015 16:00:00,70.3
10/13/2015 16:00:00,95.45,10/13/2015 16:00:00,57.62,10/13/2015 16:00:00,79.16,10/13/2015 16:00:00,4.75,10/13/2015 16:00:00,69.68
10/14/2015 16:00:00,94.53,10/14/2015 16:00:00,57.55,10/14/2015 16:00:00,80.16,10/14/2015 16:00:00,4.88,10/14/2015 16:00:00,68.54
